2026/01/01 12:14:45 INFO Migration step executed (ignoring potential duplicate column error) query="ALTER TABLE agents ADD COLUMN token_hash TEXT;" error="SQL logic error: duplicate column name: token_hash (1)"
2026/01/01 12:14:45 INFO Migration step executed (ignoring potential duplicate column error) query="ALTER TABLE agents ADD COLUMN rack_location TEXT DEFAULT '';" error="SQL logic error: duplicate column name: rack_location (1)"
2026/01/01 12:14:45 INFO Migration step executed (ignoring potential duplicate column error) query="ALTER TABLE agents ADD COLUMN temperature REAL DEFAULT 0.0;" error="SQL logic error: duplicate column name: temperature (1)"
2026/01/01 12:14:45 INFO Migration step executed (ignoring potential duplicate column error) query="ALTER TABLE system_metrics ADD COLUMN bytes_in INTEGER DEFAULT 0;" error="SQL logic error: duplicate column name: bytes_in (1)"
2026/01/01 12:14:45 INFO Migration step executed (ignoring potential duplicate column error) query="ALTER TABLE system_metrics ADD COLUMN bytes_out INTEGER DEFAULT 0;" error="SQL logic error: duplicate column name: bytes_out (1)"
2026/01/01 12:14:45 INFO Migration step executed (ignoring potential duplicate column error) query="ALTER TABLE system_metrics ADD COLUMN latency_ms REAL DEFAULT 0.0;" error="SQL logic error: duplicate column name: latency_ms (1)"
[GIN-debug] [WARNING] Creating an Engine instance with the Logger and Recovery middleware already attached.

[GIN-debug] [WARNING] Running in "debug" mode. Switch to "release" mode in production.
 - using env:	export GIN_MODE=release
 - using code:	gin.SetMode(gin.ReleaseMode)

[GIN-debug] GET    /health                   --> main.main.func2 (4 handlers)
[GIN-debug] GET    /api/v1/agents            --> main.main.func3 (4 handlers)
[GIN-debug] PUT    /api/v1/agents/:id/metadata --> main.main.func4 (4 handlers)
[GIN-debug] GET    /api/v1/metrics/:agent_id --> main.main.func5 (4 handlers)
[GIN-debug] GET    /api/v1/metrics/:agent_id/network --> main.main.func6 (4 handlers)
[GIN-debug] GET    /api/v1/stats/:agent_id/network --> main.main.func7 (4 handlers)
[GIN-debug] GET    /api/v1/stats/:agent_id/latency --> main.main.func8 (4 handlers)
[GIN-debug] GET    /api/v1/agents/rack/:rack_id --> main.main.func9 (4 handlers)
[GIN-debug] POST   /api/v1/metrics           --> main.main.func10 (5 handlers)
2026/01/01 12:14:45 Server executing on :8080
[GIN-debug] [WARNING] You trusted all proxies, this is NOT safe. We recommend you to set a value.
Please check https://github.com/gin-gonic/gin/blob/master/docs/doc.md#dont-trust-all-proxies for details.
[GIN-debug] Listening and serving HTTP on :8080
[GIN] 2026/01/01 - 12:14:45 | 401 |      33.613µs |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 12:14:46 | 401 |     206.544µs |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 12:14:46 | 401 |      36.238µs |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 12:14:46 | 401 |      49.451µs |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 12:14:47 | 401 |     153.935µs |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 12:14:47 | 401 |      28.956µs |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 12:14:47 | 401 |      50.131µs |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 12:14:48 | 401 |     188.361µs |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 12:14:48 | 401 |      48.766µs |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 12:14:48 | 401 |      34.607µs |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 12:14:49 | 401 |     184.148µs |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 12:14:49 | 401 |      30.731µs |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 12:14:49 | 401 |      26.004µs |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 12:14:50 | 401 |     261.018µs |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 12:14:50 | 401 |      44.695µs |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 12:14:50 | 401 |      50.609µs |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 12:14:51 | 401 |     207.909µs |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 12:14:51 | 401 |      27.053µs |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 12:14:51 | 401 |      36.233µs |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 12:14:52 | 401 |     220.225µs |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 12:14:52 | 401 |      27.113µs |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 12:14:52 | 401 |      37.146µs |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 12:14:53 | 401 |     233.223µs |       127.0.0.1 | POST     "/api/v1/metrics"
