2026/01/01 11:39:48 INFO Migration step executed (ignoring potential duplicate column error) query="ALTER TABLE agents ADD COLUMN token_hash TEXT;" error="SQL logic error: duplicate column name: token_hash (1)"
2026/01/01 11:39:48 INFO Migration step executed (ignoring potential duplicate column error) query="ALTER TABLE agents ADD COLUMN rack_location TEXT DEFAULT '';" error="SQL logic error: duplicate column name: rack_location (1)"
2026/01/01 11:39:48 INFO Migration step executed (ignoring potential duplicate column error) query="ALTER TABLE agents ADD COLUMN temperature REAL DEFAULT 0.0;" error="SQL logic error: duplicate column name: temperature (1)"
2026/01/01 11:39:48 INFO Migration step executed (ignoring potential duplicate column error) query="ALTER TABLE system_metrics ADD COLUMN bytes_in INTEGER DEFAULT 0;" error="SQL logic error: duplicate column name: bytes_in (1)"
2026/01/01 11:39:48 INFO Migration step executed (ignoring potential duplicate column error) query="ALTER TABLE system_metrics ADD COLUMN bytes_out INTEGER DEFAULT 0;" error="SQL logic error: duplicate column name: bytes_out (1)"
2026/01/01 11:39:48 INFO Migration step executed (ignoring potential duplicate column error) query="ALTER TABLE system_metrics ADD COLUMN latency_ms REAL DEFAULT 0.0;" error="SQL logic error: duplicate column name: latency_ms (1)"
[GIN-debug] [WARNING] Creating an Engine instance with the Logger and Recovery middleware already attached.

[GIN-debug] [WARNING] Running in "debug" mode. Switch to "release" mode in production.
 - using env:	export GIN_MODE=release
 - using code:	gin.SetMode(gin.ReleaseMode)

[GIN-debug] GET    /health                   --> main.main.func2 (4 handlers)
[GIN-debug] GET    /api/v1/agents            --> main.main.func3 (4 handlers)
[GIN-debug] PUT    /api/v1/agents/:id/metadata --> main.main.func4 (4 handlers)
[GIN-debug] GET    /api/v1/metrics/:agent_id --> main.main.func5 (4 handlers)
[GIN-debug] GET    /api/v1/metrics/:agent_id/network --> main.main.func6 (4 handlers)
[GIN-debug] GET    /api/v1/stats/:agent_id/network --> main.main.func7 (4 handlers)
[GIN-debug] GET    /api/v1/stats/:agent_id/latency --> main.main.func8 (4 handlers)
[GIN-debug] GET    /api/v1/agents/rack/:rack_id --> main.main.func9 (4 handlers)
[GIN-debug] POST   /api/v1/metrics           --> main.main.func10 (5 handlers)
2026/01/01 11:39:48 Server executing on :8080
[GIN-debug] [WARNING] You trusted all proxies, this is NOT safe. We recommend you to set a value.
Please check https://github.com/gin-gonic/gin/blob/master/docs/doc.md#dont-trust-all-proxies for details.
[GIN-debug] Listening and serving HTTP on :8080
[GIN] 2026/01/01 - 11:39:48 | 401 |     253.618µs |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 11:39:48 | 401 |      40.211µs |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 11:39:48 | 401 |       37.16µs |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 11:39:48 | 401 |      42.523µs |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 11:39:48 | 200 |   11.542356ms |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 11:39:49 | 401 |     163.118µs |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 11:39:49 | 401 |      24.347µs |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 11:39:49 | 401 |      24.861µs |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 11:39:49 | 401 |      39.493µs |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 11:39:49 | 200 |   10.736663ms |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 11:39:50 | 401 |      147.53µs |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 11:39:50 | 401 |      23.801µs |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 11:39:50 | 401 |      24.494µs |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 11:39:50 | 401 |      22.897µs |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 11:39:50 | 200 |   10.787809ms |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 11:39:51 | 401 |      143.66µs |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 11:39:51 | 401 |      38.562µs |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 11:39:51 | 401 |      24.378µs |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 11:39:51 | 401 |      28.637µs |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 11:39:51 | 200 |   10.936796ms |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 11:39:52 | 401 |     161.376µs |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 11:39:52 | 200 |     262.851µs |             ::1 | GET      "/api/v1/agents"
[GIN] 2026/01/01 - 11:39:52 | 200 |     153.817µs |             ::1 | GET      "/api/v1/agents"
[GIN] 2026/01/01 - 11:39:52 | 200 |      626.47µs |             ::1 | GET      "/api/v1/metrics/agent-uuid-1"
[GIN] 2026/01/01 - 11:39:52 | 200 |     328.983µs |             ::1 | GET      "/api/v1/stats/agent-uuid-1/network"
[GIN] 2026/01/01 - 11:39:52 | 200 |     292.388µs |             ::1 | GET      "/api/v1/stats/agent-uuid-1/latency"
[GIN] 2026/01/01 - 11:39:52 | 401 |       26.01µs |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 11:39:52 | 401 |      25.769µs |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 11:39:52 | 401 |      34.784µs |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 11:39:52 | 200 |     10.9096ms |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 11:39:53 | 401 |     165.133µs |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 11:39:53 | 401 |      33.695µs |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 11:39:53 | 401 |      27.882µs |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 11:39:53 | 401 |      23.429µs |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 11:39:53 | 200 |   11.012599ms |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 11:39:54 | 401 |     148.175µs |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 11:39:54 | 401 |      23.579µs |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 11:39:54 | 401 |      23.687µs |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 11:39:54 | 401 |      26.207µs |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 11:39:54 | 200 |    11.19279ms |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 11:39:55 | 401 |     140.731µs |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 11:39:55 | 401 |      36.893µs |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 11:39:55 | 401 |      23.118µs |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 11:39:55 | 401 |      24.689µs |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 11:39:55 | 200 |   10.830157ms |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 11:39:56 | 401 |     136.075µs |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 11:39:56 | 401 |      31.823µs |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 11:39:56 | 401 |      22.782µs |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 11:39:56 | 401 |      38.133µs |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 11:39:56 | 200 |   10.913046ms |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 11:39:57 | 401 |     141.948µs |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 11:39:57 | 200 |     155.154µs |             ::1 | GET      "/api/v1/agents"
[GIN] 2026/01/01 - 11:39:57 | 200 |     132.074µs |             ::1 | GET      "/api/v1/agents"
[GIN] 2026/01/01 - 11:39:57 | 200 |     530.328µs |             ::1 | GET      "/api/v1/metrics/agent-uuid-1"
[GIN] 2026/01/01 - 11:39:57 | 200 |     201.115µs |             ::1 | GET      "/api/v1/stats/agent-uuid-1/network"
[GIN] 2026/01/01 - 11:39:57 | 200 |     287.051µs |             ::1 | GET      "/api/v1/stats/agent-uuid-1/latency"
[GIN] 2026/01/01 - 11:39:57 | 401 |      23.029µs |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 11:39:57 | 401 |      33.184µs |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 11:39:57 | 401 |      40.289µs |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 11:39:57 | 200 |   10.928875ms |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 11:39:58 | 401 |     151.719µs |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 11:39:58 | 401 |      38.334µs |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 11:39:58 | 401 |      23.499µs |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 11:39:58 | 401 |      22.584µs |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 11:39:58 | 200 |   11.169588ms |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 11:39:59 | 401 |     136.521µs |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 11:39:59 | 401 |      23.646µs |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 11:39:59 | 401 |      22.995µs |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 11:39:59 | 401 |      24.025µs |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 11:39:59 | 200 |   11.037297ms |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 11:40:00 | 401 |     151.303µs |       127.0.0.1 | POST     "/api/v1/metrics"
