2026/01/01 10:06:31 INFO Migration step executed (ignoring potential duplicate column error) query="ALTER TABLE agents ADD COLUMN token_hash TEXT;" error="SQL logic error: duplicate column name: token_hash (1)"
2026/01/01 10:06:31 INFO Migration step executed (ignoring potential duplicate column error) query="ALTER TABLE agents ADD COLUMN rack_location TEXT DEFAULT '';" error="SQL logic error: duplicate column name: rack_location (1)"
2026/01/01 10:06:31 INFO Migration step executed (ignoring potential duplicate column error) query="ALTER TABLE agents ADD COLUMN temperature REAL DEFAULT 0.0;" error="SQL logic error: duplicate column name: temperature (1)"
[GIN-debug] [WARNING] Creating an Engine instance with the Logger and Recovery middleware already attached.

[GIN-debug] [WARNING] Running in "debug" mode. Switch to "release" mode in production.
 - using env:	export GIN_MODE=release
 - using code:	gin.SetMode(gin.ReleaseMode)

[GIN-debug] GET    /health                   --> main.main.func2 (4 handlers)
[GIN-debug] GET    /api/v1/agents            --> main.main.func3 (4 handlers)
[GIN-debug] PUT    /api/v1/agents/:id/metadata --> main.main.func4 (4 handlers)
[GIN-debug] GET    /api/v1/metrics/:agent_id --> main.main.func5 (4 handlers)
[GIN-debug] POST   /api/v1/metrics           --> main.main.func6 (5 handlers)
2026/01/01 10:06:31 Server executing on :8080
[GIN-debug] [WARNING] You trusted all proxies, this is NOT safe. We recommend you to set a value.
Please check https://github.com/gin-gonic/gin/blob/master/docs/doc.md#dont-trust-all-proxies for details.
[GIN-debug] Listening and serving HTTP on :8080
[GIN] 2026/01/01 - 10:06:31 | 401 |     846.967µs |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 10:06:31 | 200 |     583.728µs |             ::1 | GET      "/api/v1/agents"
[GIN] 2026/01/01 - 10:06:31 | 401 |      76.405µs |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 10:06:31 | 401 |      51.493µs |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 10:06:31 | 401 |      61.847µs |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 10:06:31 | 404 |       4.481µs |             ::1 | GET      "/api/v1/metrics/agent-uuid-1/network"
[GIN] 2026/01/01 - 10:06:32 | 401 |     404.852µs |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 10:06:32 | 401 |      48.136µs |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 10:06:32 | 401 |      59.305µs |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 10:06:32 | 401 |      36.281µs |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 10:06:33 | 401 |      195.27µs |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 10:06:33 | 401 |      27.519µs |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 10:06:33 | 401 |      27.319µs |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 10:06:33 | 401 |      29.453µs |       127.0.0.1 | POST     "/api/v1/metrics"
