2026/01/01 10:10:28 INFO Migration step executed (ignoring potential duplicate column error) query="ALTER TABLE agents ADD COLUMN token_hash TEXT;" error="SQL logic error: duplicate column name: token_hash (1)"
2026/01/01 10:10:28 INFO Migration step executed (ignoring potential duplicate column error) query="ALTER TABLE agents ADD COLUMN rack_location TEXT DEFAULT '';" error="SQL logic error: duplicate column name: rack_location (1)"
2026/01/01 10:10:28 INFO Migration step executed (ignoring potential duplicate column error) query="ALTER TABLE agents ADD COLUMN temperature REAL DEFAULT 0.0;" error="SQL logic error: duplicate column name: temperature (1)"
2026/01/01 10:10:28 INFO Migration step executed (ignoring potential duplicate column error) query="ALTER TABLE system_metrics ADD COLUMN bytes_in INTEGER DEFAULT 0;" error="SQL logic error: duplicate column name: bytes_in (1)"
2026/01/01 10:10:28 INFO Migration step executed (ignoring potential duplicate column error) query="ALTER TABLE system_metrics ADD COLUMN bytes_out INTEGER DEFAULT 0;" error="SQL logic error: duplicate column name: bytes_out (1)"
2026/01/01 10:10:28 INFO Migration step executed (ignoring potential duplicate column error) query="ALTER TABLE system_metrics ADD COLUMN latency_ms REAL DEFAULT 0.0;" error="SQL logic error: duplicate column name: latency_ms (1)"
[GIN-debug] [WARNING] Creating an Engine instance with the Logger and Recovery middleware already attached.

[GIN-debug] [WARNING] Running in "debug" mode. Switch to "release" mode in production.
 - using env:	export GIN_MODE=release
 - using code:	gin.SetMode(gin.ReleaseMode)

[GIN-debug] GET    /health                   --> main.main.func2 (4 handlers)
[GIN-debug] GET    /api/v1/agents            --> main.main.func3 (4 handlers)
[GIN-debug] PUT    /api/v1/agents/:id/metadata --> main.main.func4 (4 handlers)
[GIN-debug] GET    /api/v1/metrics/:agent_id --> main.main.func5 (4 handlers)
[GIN-debug] GET    /api/v1/metrics/:agent_id/network --> main.main.func6 (4 handlers)
[GIN-debug] GET    /api/v1/stats/:agent_id/network --> main.main.func7 (4 handlers)
[GIN-debug] GET    /api/v1/stats/:agent_id/latency --> main.main.func8 (4 handlers)
[GIN-debug] GET    /api/v1/agents/rack/:rack_id --> main.main.func9 (4 handlers)
[GIN-debug] POST   /api/v1/metrics           --> main.main.func10 (5 handlers)
2026/01/01 10:10:28 Server executing on :8080
[GIN-debug] [WARNING] You trusted all proxies, this is NOT safe. We recommend you to set a value.
Please check https://github.com/gin-gonic/gin/blob/master/docs/doc.md#dont-trust-all-proxies for details.
[GIN-debug] Listening and serving HTTP on :8080
[GIN] 2026/01/01 - 10:10:28 | 401 |     393.295µs |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 10:10:28 | 401 |      44.928µs |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 10:10:28 | 401 |      82.404µs |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 10:10:28 | 401 |      50.278µs |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 10:10:29 | 401 |     190.104µs |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 10:10:29 | 401 |      29.548µs |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 10:10:29 | 401 |      33.917µs |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 10:10:29 | 401 |      42.711µs |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 10:10:30 | 401 |     149.827µs |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 10:10:30 | 401 |      23.759µs |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 10:10:30 | 401 |       24.24µs |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 10:10:30 | 401 |      29.639µs |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 10:10:31 | 401 |     147.018µs |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 10:10:31 | 401 |      23.356µs |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 10:10:31 | 401 |      23.653µs |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 10:10:31 | 401 |      34.692µs |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 10:10:32 | 401 |     133.657µs |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 10:10:32 | 401 |      30.115µs |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 10:10:32 | 401 |       23.53µs |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 10:10:32 | 401 |      25.934µs |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 10:10:33 | 401 |     143.412µs |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 10:10:33 | 401 |      25.717µs |       127.0.0.1 | POST     "/api/v1/metrics"
[GIN] 2026/01/01 - 10:10:33 | 401 |      34.149µs |       127.0.0.1 | POST     "/api/v1/metrics"
